,Cena,Kupione,Chłodzenie:,Faktura:,Interfejs złącza karty:,Pamięć:,Producent chipsetu:,Producent:,Rodzaj pamięci:,Stan:,Szyna pamięci:,Model
766,2389,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2070
767,3749,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2080
768,1030,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Palit,GDDR6,Nowy,192,GTX1660
769,3099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Palit,GDDR6,Nowy,256,RTX2080
770,580,0,powietrzem,Nie wystawiam faktury,PCI Express,4,NVIDIA,Asus,GDDR5,Używany,128,GTX1050ti
771,535,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,AMD,SAPPHIRE,GDDR5,Nowy,128,RX560
772,2344,1,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,DDR6,Nowy,256,RTX2070
773,2949,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2070
774,819,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Asus,GDDR5,Nowy,128,GTX1050ti
775,2249,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Palit,DDR5,Nowy,256,GTX1070ti
776,1099,0,powietrzem,Wystawiam fakturę VAT-marża,PCI Express,8,NVIDIA,ZOTAC,GDDR5X,Używany,256,GTX1070
778,499,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Asus,GDDR5,Po zwrocie,256,RX570
779,3599,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2080
780,2399,0,powietrzem,Wystawiam fakturę VAT,inny,8,NVIDIA,Gainward,GDDR6,Nowy,256,RTX2070
781,619,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,Asus,GDDR5,Nowy,128,GTX1050
782,845,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,DDR5,Nowy,128,GTX1050ti
783,750,0,powietrzem,Nie wystawiam faktury,PCI Express,4,NVIDIA,ZOTAC,GDDR5,Używany,256,GTX980
784,1557,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR5,Nowy,256,GTX1070
785,889,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Asus,GDDR5,Nowy,128,GTX1050ti
786,629,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,nVidia,GDDR5,Używany,192,QUADROk4000
787,2899,0,powietrzem,Wystawiam fakturę VAT,PCI Express,12,NVIDIA,nVidia,GDDR3,Używany,384,QUADROk6000
788,1899,6,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gigabyte,GDDR5,Używany,352,GTX1080ti
789,2303,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
790,409,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADRO4000
791,1410,0,powietrzem,Wystawiam fakturę bez VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,GTX1660ti
792,439,0,powietrzem,Nie wystawiam faktury,PCI Express,3,NVIDIA,MSI,GDDR5,Używany,256,GTX780
793,429,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,SAPPHIRE,GDDR5,Używany,128,GTX950
794,1000,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,Gigabyte,GDDR5,Nowy,256,RX580
795,902,1,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050ti
796,549,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Asus,GDDR5,Po zwrocie,256,RX570
797,569,1,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,SAPPHIRE,GDDR5,Nowy,128,RX550
798,2928,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2070
799,1089,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,DDR5,Nowy,192,GTX1660
800,1559,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR5,Nowy,256,GTX1070
801,1599,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR5X,Po zwrocie,256,GTX1070ti
802,6099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Gigabyte,GDDR6,Nowy,352,RTX2080ti
803,500,0,powietrzem,Wystawiam fakturę VAT-marża,PCI Express,4,NVIDIA,MSI,GDDR5,Używany,128,GTX960
804,2099,0,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gainward,GDDR5,Używany,352,GTX1080ti
805,6199,0,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Asus,GDDR6,Nowy,352,RTX2080ti
806,750,0,powietrzem,Nie wystawiam faktury,PCI Express,4,NVIDIA,ZOTAC,GDDR5,Używany,256,GTX980
807,2249,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,ZOTAC,GDDR5X,Nowy,256,GTX1070ti
808,1849,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR6,Nowy,192,RTX2060
809,1458,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,DDR5,Nowy,192,GTX1060
810,2508,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RTX2070
811,599,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050
812,1299,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,Gigabyte,GDDR5,Nowy,256,RX590
813,1119,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
814,869,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050
815,2899,0,powietrzem,Wystawiam fakturę VAT,PCI Express,12,NVIDIA,nVidia,GDDR3,Używany,384,QUADROk6000
816,848,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050ti
817,1899,6,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gigabyte,GDDR5,Używany,352,GTX1080ti
818,2303,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
819,409,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADRO4000
820,1410,0,powietrzem,Wystawiam fakturę bez VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,GTX1660ti
821,6199,0,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Asus,GDDR6,Nowy,352,RTX2080ti
822,2249,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,ZOTAC,GDDR5X,Nowy,256,GTX1070ti
823,1849,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR6,Nowy,192,RTX2060
824,2195,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,ZOTAC,GDDR5,Nowy,256,GTX1080
825,1458,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,DDR5,Nowy,192,GTX1060
826,750,0,powietrzem,Nie wystawiam faktury,PCI Express,4,NVIDIA,ZOTAC,GDDR5,Używany,256,GTX980
827,2508,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RTX2070
828,599,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050
829,1299,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,Gigabyte,GDDR5,Nowy,256,RX590
830,1119,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
831,869,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050
832,2899,0,powietrzem,Wystawiam fakturę VAT,PCI Express,12,NVIDIA,nVidia,GDDR3,Używany,384,QUADROk6000
833,848,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050ti
834,1379,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gainward,GDDR6,Nowy,192,GTX1660ti
835,2099,0,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gainward,GDDR5,Używany,352,GTX1080ti
836,3499,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,ZOTAC,GDDR5,Po zwrocie,256,RTX2080
837,2999,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Po zwrocie,256,RTX2080
838,669,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,Gigabyte,GDDR5,Nowy,64,GTX1050
839,499,0,powietrzem,Wystawiam fakturę VAT-marża,PCI Express,2,NVIDIA,ZOTAC,GDDR5,Używany,128,GTX1050
840,800,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,MSI,GDDR5,Nowy,256,GTX1050ti
841,655,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RX570
842,739,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Asus,GDDR5,Nowy,128,GTX1050ti
843,600,0,powietrzem,Nie wystawiam faktury,PCI Express,4,NVIDIA,ZOTAC,GDDR5,Używany,256,GTX970
844,749,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Asus,DDR5,Nowy,128,GTX1050ti
845,2320,1,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,DDR5,Nowy,256,GTX1070ti
846,2327,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2070
847,809,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Palit,GDDR5,Nowy,128,GTX1050ti
848,799,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Palit,GDDR5,Nowy,128,GTX1050ti
849,499,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Asus,GDDR5,Po zwrocie,256,RX570
850,499,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Asus,GDDR5,Po zwrocie,256,RX570
851,1549,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR6,Nowy,192,GTX1660
852,600,0,powietrzem,Nie wystawiam faktury,PCI Express,4,NVIDIA,ZOTAC,GDDR5,Używany,256,GTX970
853,1899,6,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gigabyte,GDDR5,Używany,352,GTX1080ti
854,2303,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
855,409,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADRO4000
856,1410,0,powietrzem,Wystawiam fakturę bez VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,GTX1660ti
857,881,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1060
858,1468,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR6,Nowy,192,GTX1660ti
859,2081,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RTX2060
860,1379,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,DDR6,Nowy,192,GTX1660ti
861,1860,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RTX2060
862,1189,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Nowy,192,GTX1060
863,1199,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
864,1139,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,DDR5,Nowy,192,GTX1660
865,799,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050ti
866,419,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,AMD,GDDR5,Używany,128,RX560
867,799,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,XFX,GDDR5,Nowy,256,RX580
868,1869,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR6,Nowy,192,RTX2060
869,955,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050
870,759,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050ti
871,599,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,Palit,GDDR5,Nowy,128,GTX1050
872,1415,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
873,499,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,Gainward,GDDR5,Używany,384,GTX580
874,3799,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2080
875,1369,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,GTX1660ti
876,979,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
877,1353,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RX590
878,1899,6,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gigabyte,GDDR5,Używany,352,GTX1080ti
879,2303,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
880,409,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADRO4000
881,1410,0,powietrzem,Wystawiam fakturę bez VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,GTX1660ti
882,449,0,powietrzem,Nie wystawiam faktury,PCI Express,2,NVIDIA,ZOTAC,GDDR5,Używany,128,GTX1050
883,879,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Asus,GDDR5,Nowy,128,GTX1050ti
884,3099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Palit,GDDR6,Po zwrocie,256,RTX2080
885,800,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050ti
887,839,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Asus,GDDR5,Nowy,128,GTX1050ti
888,583,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,Gainward,GDDR5,Nowy,128,GTX950
889,3511,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2080
890,799,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,NVIDIA,GDDR5,Używany,192,GTX1060
891,826,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
892,2146,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,GDDR5,Nowy,256,GTX1070
893,1060,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gainward,GDDR5,Nowy,192,GTX1660
894,1349,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Palit,GDDR5,Nowy,192,GTX1060
895,1910,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RTX2060
896,1079,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Palit,GDDR5,Nowy,192,GTX1060
897,3099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Po zwrocie,256,RTX2080
898,3161,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,EVGA,GDDR6,Nowy,256,RTX2070
899,1085,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Nowy,192,GTX1060
900,4899,0,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Palit,GDDR6,Nowy,352,RTX2080ti
901,738,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
902,789,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,NVIDIA,GDDR5,Używany,128,QUADROk1200
903,599,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,NVIDIA,GDDR5,Używany,256,GTX970
904,2099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,PNY,GDDR5X,Po zwrocie,256,GTX1080
905,1149,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,GTX1660
906,1899,6,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gigabyte,GDDR5,Używany,352,GTX1080ti
907,2303,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
908,409,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADRO4000
909,1410,0,powietrzem,Wystawiam fakturę bez VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,GTX1660ti
910,838,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Asus,GDDR5,Nowy,128,GTX1050ti
911,1199,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX590
912,649,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050
913,1199,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1060
914,1999,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR5X,Po zwrocie,256,GTX1080
915,910,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX570
916,1199,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,MSI,GDDR5,Nowy,256,RX590
917,799,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050ti
918,1590,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR5,Nowy,256,GTX1070
919,569,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,Palit,GDDR5,Nowy,128,GTX1050
920,839,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050ti
921,2820,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,Gigabyte,HBM 2,Nowy,2048,RXvega64
922,2026,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,EVGA,GDDR6,Nowy,192,RTX2060
923,613,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,Asus,GDDR5,Nowy,128,GTX1050
924,1089,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1660
925,795,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,Asus,GDDR5,Nowy,128,GTX960
926,2299,1,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,Asus,GDDR5X,Nowy,2048,RXvega64
927,1125,1,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,128,RX580
928,620,0,powietrzem,Nie wystawiam faktury,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Używany,256,GTX970
929,3099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Po zwrocie,256,RTX2080
930,572,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050
931,548,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RX550
932,1155,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1660
933,1763,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,EVGA,GDDR6,Nowy,192,RTX2060
934,5372,0,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Asus,GDDR6,Nowy,352,RTX2080ti
935,1280,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,inna,Nowy,192,GTX1060
936,5703,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RTX2080ti
937,1199,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,Asus,GDDR5,Po zwrocie,256,RX580
938,599,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050
939,579,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Gigabyte,GDDR5,Powystawowy,128,RX560
940,1249,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,PNY,GDDR6,Nowy,192,GTX1660ti
941,1949,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR6,Nowy,192,RTX2060
942,1099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,XFX,GDDR5,Nowy,256,RX590
943,1899,6,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gigabyte,GDDR5,Używany,352,GTX1080ti
944,2303,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
945,409,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADRO4000
946,1410,0,powietrzem,Wystawiam fakturę bez VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,GTX1660ti
947,1099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,XFX,GDDR5,Nowy,256,RX590
948,989,0,powietrzem,Nie wystawiam faktury,PCI Express,6,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1060
949,1149,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR5,Używany,256,GTX1070
950,2290,0,powietrzem,Wystawiam fakturę VAT,PCI Express,12,NVIDIA,Asus,GDDR5,Używany,768,GTXtitanz
951,1599,0,powietrzem,Wystawiam fakturę VAT,PCI Express,5,NVIDIA,nVidia,GDDR5,Używany,128,QUADROp2000
952,715,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Palit,GDDR5,Nowy,128,GTX1050ti
953,749,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,XFX,GDDR5,Po zwrocie,256,RX480
954,549,0,powietrzem,Wystawiam fakturę VAT-marża,PCI Express,4,AMD,Gigabyte,GDDR5,Używany,256,RX470
955,3099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,GDDR6,Po zwrocie,256,RTX2080
956,1369,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,GTX1660ti
957,618,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Asus,GDDR5,Używany,128,GTX1050ti
958,899,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,NVIDIA,GDDR5,Używany,128,QUADROm2000
959,1189,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,SAPPHIRE,DDR5,Nowy,256,RX570
960,2720,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,GDDR5X,Nowy,256,GTX1080
961,1059,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
962,569,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,AMD,SAPPHIRE,GDDR5,Nowy,128,RX550
963,1289,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,SAPPHIRE,GDDR5,Nowy,256,RX570
964,2195,1,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,DDR5,Nowy,256,GTX1070ti
965,1099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,NVIDIA,DDR5,Używany,384,GTXtitan
966,1329,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,GTX1660ti
967,1285,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR6,Nowy,192,GTX1660
968,1180,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
969,2820,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,Gigabyte,HBM 2,Nowy,2048,RXvega64
970,1380,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,GTX1660ti
971,727,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050ti
972,849,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,ZOTAC,GDDR6,Nowy,256,GTX1060
973,619,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050
974,3650,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Palit,DDR6,Nowy,256,RTX2080
975,1439,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Nowy,192,GTX1660ti
976,1055,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,GTX1060
977,1357,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR6,Nowy,192,GTX1660ti
978,528,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Asus,GDDR5,Nowy,192,RX550
