,Cena,Kupione,Chłodzenie:,Faktura:,Interfejs złącza karty:,Pamięć:,Producent chipsetu:,Producent:,Rodzaj pamięci:,Stan:,Szyna pamięci:,Model
47,1149,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1060
48,1599,7,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR5,Nowy,256,GTX1070
49,829,1,powietrzem,Wystawiam fakturę VAT-marża,PCI Express,6,NVIDIA,Gigabyte,GDDR5,Używany,192,GTX1060
50,1699,7,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Palit,GDDR6,Nowy,192,RTX2060
51,549,12,powietrzem,Nie wystawiam faktury,PCI Express,8,AMD,SAPPHIRE,GDDR5,Używany,256,RX570
52,4971,0,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Gigabyte,DDR6,Nowy,352,RTX2080ti
53,920,2,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
54,1149,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Nowy,192,GTX1060
55,2217,2,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,DDR6,Nowy,256,RTX2070
56,1838,1,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,DDR6,Nowy,352,RTX2060
57,549,2,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Gigabyte,GDDR5,Używany,256,RX580
58,849,5,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,MSI,DDR5,Nowy,256,GTX980
59,1395,8,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR6,Nowy,192,GTX1660ti
60,2049,4,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,Asus,HBM 2,Nowy,2048,RXvega64
61,3165,1,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,DDR6,Nowy,256,RTX2080
62,5997,2,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Gigabyte,GDDR6,Nowy,352,RTX2080ti
63,1599,2,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,ZOTAC,GDDR5,Nowy,256,GTX1070
64,2150,3,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2070
65,1000,1,powietrzem,Nie wystawiam faktury,PCI Express,8,NVIDIA,MSI,GDDR5,Używany,256,GTX1070
66,765,3,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050ti
67,2231,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,DDR6,Nowy,256,RTX2070
68,899,1,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Używany,192,GTX1060
69,1009,1,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Palit,GDDR5,Nowy,192,GTX1660
70,999,4,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,DDR5,Nowy,256,RX580
71,1071,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,Gigabyte,DDR5,Nowy,256,RX580
72,698,2,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,MSI,DDR5,Nowy,128,GTX1050ti
73,719,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Gigabyte,GDDR5,Nowy,256,RX570
74,1339,2,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Nowy,192,GTX1660ti
75,590,0,powietrzem,Wystawiam fakturę VAT-marża,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Używany,256,GTX970
76,1069,5,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1060
77,600,0,powietrzem,Wystawiam fakturę VAT-marża,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Używany,256,GTX970
78,1279,2,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX590
79,800,0,powietrzem,Nie wystawiam faktury,PCI Express,6,NVIDIA,MSI,GDDR5,Używany,192,GTX1060
80,6079,1,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Gigabyte,GDDR6,Nowy,352,RTX2080ti
81,1899,6,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gigabyte,GDDR5,Używany,352,GTX1080ti
82,409,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADRO4000
83,1410,0,powietrzem,Wystawiam fakturę bez VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,GTX1660ti
84,825,1,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050ti
85,529,11,powietrzem,Nie wystawiam faktury,PCI Express,3,NVIDIA,Asus,GDDR5,Używany,192,GTX1060
86,2260,11,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2070
87,708,1,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050
88,1729,4,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Palit,GDDR6,Nowy,192,RTX2060
89,693,1,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Palit,GDDR5,Nowy,128,GTX1050
90,657,3,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Asus,GDDR5,Nowy,256,RX570
91,1259,1,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Palit,GDDR5,Nowy,192,GTX1660ti
92,1099,5,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5X,Nowy,192,GTX1060
93,5590,1,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Palit,GDDR6,Nowy,352,RTX2080ti
94,868,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1060
95,719,5,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Asus,DDR5,Nowy,128,GTX1050ti
96,1449,3,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR6,Nowy,192,GTX1660ti
97,789,8,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,XFX,GDDR5,Nowy,256,RX580
98,2049,3,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Asus,GDDR5X,Używany,352,GTX1080ti
99,1590,16,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR6,Nowy,192,RTX2060
100,1439,1,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1660ti
101,1949,0,powietrzem,Nie wystawiam faktury,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Używany,256,RTX2070
102,1219,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,XFX,GDDR5,Nowy,256,RX590
103,2399,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2070
104,1899,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR6,Nowy,192,RTX2060
105,560,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050
106,809,1,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Gigabyte,GDDR5,Nowy,256,RX580
107,1029,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Palit,GDDR5,Nowy,192,GTX1660
108,599,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,NVIDIA,GDDR5,Używany,256,GTX970
109,1399,2,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1660ti
110,2549,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2070
111,599,4,powietrzem,Nie wystawiam faktury,PCI Express,8,AMD,Gigabyte,GDDR5,Używany,256,RX580
112,2349,2,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Gainward,GDDR5X,Używany,352,GTX1080ti
113,2425,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,DDR6,Nowy,256,RTX2070
114,970,15,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1060
115,450,5,powietrzem,Nie wystawiam faktury,PCI Express,4,AMD,SAPPHIRE,GDDR5,Używany,256,RX580
116,589,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,MSI,DDR5,Nowy,128,GTX1050
117,999,3,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,NVIDIA,GDDR5,Używany,256,GTX1070
118,969,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Po zwrocie,192,GTX1060
119,6099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Asus,GDDR6,Nowy,352,RTX2080ti
120,440,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADRO4000
121,1749,1,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR6,Nowy,192,RTX2060
122,1050,1,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,DDR5,Nowy,256,RX580
123,1689,1,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Palit,GDDR6,Nowy,192,RTX2060
124,2499,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2070
125,629,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Asus,GDDR5,Nowy,256,RX570
126,1899,6,powietrzem,Nie wystawiam faktury,PCI Express,11,NVIDIA,Gigabyte,GDDR5,Używany,352,GTX1080ti
127,2303,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,GDDR5,Nowy,256,RX580
128,409,1,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADRO4000
129,1410,0,powietrzem,Wystawiam fakturę bez VAT,PCI Express,6,NVIDIA,ZOTAC,GDDR6,Nowy,192,GTX1660ti
130,1469,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Nowy,192,GTX1660ti
131,3749,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2080
132,1999,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,GDDR5X,Używany,256,GTX1080
133,680,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,NVIDIA,GDDR5,Używany,192,QUADROk4000
134,1369,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR5,Nowy,192,GTX1660ti
135,789,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Asus,GDDR5,Nowy,128,GTX1050ti
136,5490,0,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,MSI,GDDR6,Nowy,352,RTX2080ti
137,869,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050ti
138,1699,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,NVIDIA,GDDR5X,Używany,256,GTX1080
139,789,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050ti
140,1599,1,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,NVIDIA,GDDR5X,Używany,256,GTX1080
141,499,19,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,ZOTAC,GDDR5,Używany,256,GTX970
142,2799,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2070
143,2297,1,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,GDDR6,Nowy,256,RTX2070
144,1727,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,DDR6,Nowy,192,RTX2060
145,629,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,Asus,GDDR5,Nowy,128,GTX1050
146,926,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1060
147,975,1,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,DDR5,Nowy,192,GTX1060
148,3549,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2080
149,2999,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,GDDR6,Nowy,256,RTX2070
150,919,1,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,Gigabyte,GDDR5,Nowy,192,GTX1060
151,874,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,SAPPHIRE,DDR5,Nowy,256,RX570
152,2499,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADROk5200
153,849,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
154,1029,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
155,708,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,SAPPHIRE,DDR5,Nowy,256,RX570
156,1799,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADROm4000
157,749,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Asus,GDDR5,Nowy,128,GTX1050ti
158,779,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,NVIDIA,Gigabyte,GDDR5,Nowy,128,GTX1050ti
159,1549,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,AMD,Asus,GDDR5,Nowy,256,RX580
160,679,7,powietrzem,Nie wystawiam faktury,PCI Express,6,NVIDIA,ZOTAC,GDDR5,Używany,192,GTX1060
161,1169,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
162,4049,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,GDDR6,Nowy,256,RTX2080
163,3866,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,PNY,DDR5,Nowy,256,QUADROp4000
164,1119,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Nowy,192,GTX1660
165,3249,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2080
166,609,0,powietrzem,Wystawiam fakturę VAT,PCI Express,2,NVIDIA,MSI,GDDR5,Nowy,128,GTX1050
167,1259,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Palit,GDDR5,Nowy,192,GTX1660ti
168,1099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Nowy,192,GTX1060
169,830,0,powietrzem,Wystawiam fakturę VAT,PCI Express,3,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
170,3999,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Asus,GDDR6,Nowy,256,RTX2080
171,3549,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2080
172,1299,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Nowy,192,GTX1660
173,1750,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,NVIDIA,GDDR5,Używany,256,QUADROk5200
174,1279,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,DDR5,Nowy,192,GTX1060
175,1249,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
176,1999,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Gigabyte,GDDR6,Nowy,192,RTX2060
177,1899,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RTX2060
178,1099,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR5,Nowy,192,GTX1060
