,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Nazwa,Cena kupiona,Cena zaoferowana,Link,offer_id,Stan:,Kupione,Model,Producent:,Cena
1689,1689,1689,1689,1689,1689,1689, GTX 980  XLR8  4GB,Brak,730,https://archiwum.allegro.pl//oferta/pny-gtx-980-oc-xlr8-pro-4gb-i7774500056.html,7774500056,Używany,0,GTX980,PNY,730
1690,1690,1690,1690,1690,1690,1690,   ROG   GTX 1070 TI,1525,1525,https://archiwum.allegro.pl//oferta/karta-graficzna-asus-rog-strix-geforce-gtx-1070-ti-i7774452681.html,7774452681,Używany,1,GTX1070ti,ASUS,1525
1691,1691,1691,1691,1691,1691,1691,  GTX 1070 AMP EXTREME 8GB 256BIT GW4,1700,1700,https://archiwum.allegro.pl//oferta/zotac-geforce-gtx-1070-amp-extreme-8gb-256bit-gw4-i7781943085.html,7781943085,Używany,1,GTX1070,ZOTAC,1700
1692,1692,1692,1692,1692,1692,1692,  GTX 1070 G1  8GB,1225,1225,https://archiwum.allegro.pl//oferta/gigabyte-geforce-gtx-1070-g1-gaming-8gb-i7781923633.html,7781923633,Używany,1,GTX1070,Gigabyte,1225
1693,1693,1693,1693,1693,1693,1693,    GTX960 4GB - BDB / OKAZJA,Brak,500,https://archiwum.allegro.pl//oferta/asus-strix-oc-geforce-gtx960-4gb-bdb-okazja-i7786172131.html,7786172131,Używany,0,GTX960,ASUS,500
1694,1694,1694,1694,1694,1694,1694, Gtx 1080  X Długa Gwarancja,Brak,1575,https://archiwum.allegro.pl//oferta/msi-gtx-1080-gaming-x-dluga-gwarancja-i7788173300.html,7788173300,Używany,0,GTX1080,Msi,1575
1695,1695,1695,1695,1695,1695,1695, Gtx 1070 Sc  Długa Gwarancja,Brak,1275,https://archiwum.allegro.pl//oferta/evga-gtx-1070-sc-gaming-dluga-gwarancja-i7781890824.html,7781890824,Używany,0,GTX1070,Evga,1275
1696,1696,1696,1696,1696,1696,1696, GTX 1080 AORUS,Brak,1750,https://archiwum.allegro.pl//oferta/gigabyte-gtx-1080-aorus-i7774297324.html,7774297324,Używany,0,GTX1080,GIGABYTE,1750
1697,1697,1697,1697,1697,1697,1697,  GTX 1070  X 8GB GWARANCJA,Brak,1300,https://archiwum.allegro.pl//oferta/msi-geforce-gtx-1070-gaming-x-8gb-gwarancja-i7765352934.html,7765352934,Używany,0,GTX1070,MSI,1300
1698,1698,1698,1698,1698,1698,1698,    GTX 1080  X 8G,Brak,50000,https://archiwum.allegro.pl//oferta/karta-graficzna-msi-geforce-gtx-1080-gaming-x-8g-i7787815858.html,7787815858,Używany,0,GTX1080,MSI,50000
1699,1699,1699,1699,1699,1699,1699, GF GTX 970 4GB DUAL FAN,Brak,555,https://archiwum.allegro.pl//oferta/zotac-gf-gtx-970-4gb-dual-fan-i7768222402.html,7768222402,Używany,0,GTX970,ZOTAC,555
1700,1700,1700,1700,1700,1700,1700, RX470 4GB ,Brak,490,https://archiwum.allegro.pl//oferta/asus-rx470-4gb-strix-i7784651957.html,7784651957,Używany,0,RX470,ASUS,490
1701,1701,1701,1701,1701,1701,1701,"  RTX 2080Ti Dual, 11GB GDDR6",Brak,5404,https://archiwum.allegro.pl//oferta/palit-geforce-rtx-2080ti-dual-11gb-gddr6-i7778776150.html,7778776150,Nowy,0,RTX2080ti,PALIT,5404
1702,1702,1702,1702,1702,1702,1702,"  RTX 2080 GameRk, 8GB GDDR6, HDMI",Brak,3739,https://archiwum.allegro.pl//oferta/palit-geforce-rtx-2080-gamerock-8gb-gddr6-hdmi-i7778772633.html,7778772633,Nowy,0,RTX2080,PALIT,3739
1703,1703,1703,1703,1703,1703,1703,"  GTX 1050Ti 4GB, HDMI/DP/DVI",Brak,793,https://archiwum.allegro.pl//oferta/gainward-geforce-gtx-1050ti-4gb-hdmi-dp-dvi-i7778768266.html,7778768266,Nowy,0,GTX1050ti,Gainward,793
1704,1704,1704,1704,1704,1704,1704,GTX 1070 8 GB ,Brak,950,https://archiwum.allegro.pl//oferta/gtx-1070-8-gb-gigabyte-i7781670797.html,7781670797,Używany,0,GTX1070,Gigabyte,950
1705,1705,1705,1705,1705,1705,1705,  RTX 2080 GameRk Premium Edition,Brak,3969,https://archiwum.allegro.pl//oferta/palit-geforce-rtx-2080-gamerock-premium-edition-i7767379995.html,7767379995,Nowy,0,RTX2080,PALIT,3969
1706,1706,1706,1706,1706,1706,1706,"  GTX 1060 Mini ITX , 3GB GDDR5",Brak,1100,https://archiwum.allegro.pl//oferta/gigabyte-geforce-gtx-1060-mini-itx-oc-3gb-gddr5-i7767373623.html,7767373623,Nowy,0,GTX1060,Gigabyte,1100
1707,1707,1707,1707,1707,1707,1707,"  RTX 2080 SEA HAWK EK X, 8GB GDDR6",Brak,4770,https://archiwum.allegro.pl//oferta/msi-geforce-rtx-2080-sea-hawk-ek-x-8gb-gddr6-i7748065147.html,7748065147,Nowy,0,RTX2080,MSI,4770
1708,1708,1708,1708,1708,1708,1708, GTX 1070 ,Brak,1689,https://archiwum.allegro.pl//oferta/geforce-gtx-1070-palit-i7767919267.html,7767919267,Używany,0,GTX1070,Palit,1689
1709,1709,1709,1709,1709,1709,1709, GTX 1070   8GB G1 ,Brak,1150,https://archiwum.allegro.pl//oferta/gigabyte-gtx-1070-windforce-oc-8gb-g1-gaming-i7787902626.html,7787902626,Nowy,0,GTX1070,Gigabyte,1150
1710,1710,1710,1710,1710,1710,1710,  Rx Vega 56 Air Boost,1237,1237,https://archiwum.allegro.pl//oferta/msi-radeon-rx-vega-56-air-boost-i7781618392.html,7781618392,Używany,1,RXvega56,MSI,1237
1711,1711,1711,1711,1711,1711,1711,  GTX 1060  X 6GB GDDR5,Brak,990,https://archiwum.allegro.pl//oferta/msi-geforce-gtx-1060-gaming-x-6gb-gddr5-i7768215079.html,7768215079,Używany,0,GTX1060,MSI,990
1712,1712,1712,1712,1712,1712,1712,   RTX 2080 Ti AMP,Brak,6920,https://archiwum.allegro.pl//oferta/zotac-karta-graficzna-rtx-2080-ti-amp-i7767408156.html,7767408156,Nowy,0,RTX2080ti,ZOTAC,6920
1713,1713,1713,1713,1713,1713,1713,  GTX 1070 DUAL  8GB GDDR5 VR Ready,1249,1249,https://archiwum.allegro.pl//oferta/asus-geforce-gtx-1070-dual-oc-8gb-gddr5-vr-ready-i7767796640.html,7767796640,Używany,1,GTX1070,ASUS,1249
1714,1714,1714,1714,1714,1714,1714,  GTX 1050 TI  4GB 128BIT 1506 MHz,Brak,500,https://archiwum.allegro.pl//oferta/asus-geforce-gtx-1050-ti-strix-4gb-128bit-1506-mhz-i7769832632.html,7769832632,Używany,0,GTX1050ti,ASUS,500
1715,1715,1715,1715,1715,1715,1715,Geforce GTX 1070 8GB    graf,Brak,1000,https://archiwum.allegro.pl//oferta/geforce-gtx-1070-8gb-gigabyte-windforce-karta-graf-i7771627834.html,7771627834,Używany,0,GTX1070,Gigabyte,1000
1716,1716,1716,1716,1716,1716,1716,   RTX 2080 Ti AMP,Brak,7200,https://archiwum.allegro.pl//oferta/zotac-karta-graficzna-rtx-2080-ti-amp-i7740390839.html,7740390839,Nowy,0,RTX2080ti,ZOTAC,7200
1717,1717,1717,1717,1717,1717,1717,   RTX 2080 Ti AMP,Brak,6970,https://archiwum.allegro.pl//oferta/zotac-karta-graficzna-rtx-2080-ti-amp-i7769838425.html,7769838425,Nowy,0,RTX2080ti,ZOTAC,6970
1718,1718,1718,1718,1718,1718,1718,   RTX 2080 Ti AMP,Brak,6780,https://archiwum.allegro.pl//oferta/zotac-karta-graficzna-rtx-2080-ti-amp-i7781244716.html,7781244716,Nowy,0,RTX2080ti,ZOTAC,6780
1719,1719,1719,1719,1719,1719,1719,   RTX 2080 Ti AMP,Brak,6900,https://archiwum.allegro.pl//oferta/zotac-karta-graficzna-rtx-2080-ti-amp-i7778255718.html,7778255718,Nowy,0,RTX2080ti,ZOTAC,6900
1720,1720,1720,1720,1720,1720,1720,   RTX 2080 Ti AMP,Brak,6880,https://archiwum.allegro.pl//oferta/zotac-karta-graficzna-rtx-2080-ti-amp-i7759519341.html,7759519341,Nowy,0,RTX2080ti,ZOTAC,6880
1721,1721,1721,1721,1721,1721,1721,Nowa    RTX 2080 Ti AMP 11GB,Brak,6720,https://archiwum.allegro.pl//oferta/nowa-karta-graficzna-zotac-rtx-2080-ti-amp-11gb-i7746338222.html,7746338222,Nowy,0,RTX2080ti,ZOTAC,6720
